Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,182319261,2339.063659982006,2651010,34.01111390665901,398180,3954324,50.73197158359854,54427,0.6982708087097872,8569,
United States of America,Americas,33343961,10073.62,86193,26.04,10959,599680,181.17,1953,0.59,268,Community transmission
India,South-East Asia,30458251,2207.11,323806,23.46,46617,400312,29.01,7002,0.51,853,Clusters of cases
Brazil,Americas,18557141,8730.33,387260,182.19,43836,518066,243.73,10957,5.15,2081,Community transmission
France,Europe,5667081,8713.31,11705,18,2572,110190,169.42,188,0.29,28,Community transmission
Russian Federation,Europe,5561360,3810.86,152272,104.34,23218,136565,93.58,4501,3.08,679,Clusters of cases
Turkey,Europe,5430940,6439.41,37692,44.69,5288,49774,59.02,357,0.42,42,Community transmission
The United Kingdom,Europe,4828467,7112.61,143891,211.96,27556,128162,188.79,114,0.17,22,Community transmission
Argentina,Americas,4470374,9891.13,144273,319.22,22673,94304,208.66,3318,7.34,636,Community transmission
Italy,Europe,4260788,7144,5088,8.53,879,127587,213.92,225,0.38,21,Clusters of cases
Colombia,Americas,4240982,8334.79,213966,420.51,27908,106544,209.39,4597,9.03,610,Community transmission
Spain,Europe,3821305,8073.3,39074,82.55,6378,80883,170.88,53,0.11,0,Community transmission
Germany,Europe,3729682,4484.59,4102,4.93,649,91007,109.43,329,0.4,69,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3204557,3815.27,76162,90.68,11748,84264,100.32,935,1.11,137,Community transmission
Poland,Europe,2880107,7587.59,637,1.68,97,75065,197.76,112,0.3,21,Community transmission
Mexico,Americas,2519269,1953.94,31522,24.45,6105,233047,180.75,1200,0.93,244,Community transmission
Ukraine,Europe,2236497,5113.89,3707,8.48,696,52424,119.87,190,0.43,33,Community transmission
